iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,new_tests_smoothed,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
PER,Peru,2020-03-04,0,0,0,0,,,,,107.0,,3,,,,units unclear,0.0,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-05,0,0,0,0,,,,,,,,,,,units unclear,11.11,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-06,0,0,0,0,,,,,155.0,,5,,,,units unclear,13.89,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-07,1,1,0,0,0.03,0.03,0.0,0.0,219.0,64.0,0.006999999999999999,2,,,units unclear,13.89,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-08,0,0,0,0,,,,,250.0,31.0,8,1,,,units unclear,13.89,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-09,7,6,0,0,212,182,0.0,0.0,318.0,68.0,0.01,2,,,units unclear,13.89,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-10,9,2,0,0,273,61,0.0,0.0,346.0,28.0,0.01,1,,,units unclear,13.89,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-11,11,2,0,0,334,61,0.0,0.0,656.0,310.0,0.02,9,78.0,2,units unclear,16.67,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-12,17,6,0,0,516,182,0.0,0.0,,,,,102.0,3,units unclear,46.03,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-13,22,5,0,0,667,152,0.0,0.0,,,,,126.0,4,units unclear,46.03,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
PER,Peru,2020-03-14,38,16,0,0,1152,485,0.0,0.0,1232.0,,0.037000000000000005,,145.0,4,units unclear,53.17,32971846.0,25129,29.1,7151,4455,12236706,3.5,85755,5.95,4.8,,,1.6
